PKCa,5578,4771,+,1,0,0
FZD,11211,1855,+,1,0,0
Ecad,999,126374,+,1,0,0
Ecad,999,126374,b,1,0,0
Dvl1,1855,2932,-,0,1,0
GSK3b,2932,8313,b,0,1,0
GSK3b,2932,10297,b,0,1,0
GSK3b,2932,122011,b,0,1,0
GSK3b,2932,1499,-,0,1,0
Axin1,8313,2932,b,0,1,0
APC2,10297,2932,b,0,1,0
CK1a,122011,2932,b,0,1,0
bCAT,1499,51176,+,0,1,1
bCAT,1499,51176,b,0,1,1
NF2,4771,6788,+,0,1,0
MST1/2,6788,26524,+,0,1,0
LAT1/2,26524,10413,-,0,1,0
YAP,10413,51176,+,0,1,1
YAP,10413,51176,b,0,1,1
TCF,51176,4609,+,0,0,1
TCF,51176,3725,+,0,0,1
TCF,51176,595,+,0,0,1
TCF,51176,6657,+,0,0,1
TCF,51176,8314,+,0,0,1
TCF,51176,6662,+,0,0,1
cMyc,4609,,,0,0,1
cJun,3725,,,0,0,1
CCND1,595,,,0,0,1
Sox2,6657,,,0,0,1
Axin2,8314,,,0,0,1
Sox9,6662,,,0,0,1
Ajub,126374,26524,-,1,0,0
Test,777,,,0,0,1
Test0,778,,,0,0,1
Test1,779,,,0,0,1
Test2,7771,,,0,0,1
Test3,7772,,,0,0,1
Test4,7773,,,0,0,1
Test5,7774,,,0,0,1
Test6,7775,,,0,0,1
Test7,7776,,,0,0,1
Test8,7777,,,0,0,1
Test9,7778,,,0,0,1
Test11,7779,,,0,0,1
Test12,7770,,,0,0,1
Test13,1777,,,0,0,1
Test14,77711,,,0,0,1
Test15,77722,,,0,0,1
Test16,77733,,,0,0,1
Test17,77744,,,0,0,1
Test18,77755,,,0,0,1
Test19,77766,,,0,0,1
Test20,77777,,,0,0,1
Test21,77788,,,0,0,1
Test22,77799,,,0,0,1
Test23,77701,,,0,0,1
Test24,77712,,,0,0,1
Test25,77723,,,0,0,1
Test26,77734,,,0,0,1
